,Drug,Correlation,P-value,CCLE_model_state,State_description,Salient_representative_genes
68,navitoclax,0.03019732801089814,0.9053188348903669,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
69,doxorubicin,0.1745992708810554,0.5027080033806209,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
70,ouabain,0.14796421499350199,0.5579212801475341,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
71,bexarotene,-0.05459669084990713,0.8296390611589006,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
72,nilotinib,0.0629360981119834,0.8168859885867206,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
73,sunitinib,-0.00812400953479849,0.9744775627159247,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
74,bendamustine,-0.37893729092394135,0.16365025929127966,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
75,BRD9647,-0.1578911078774751,0.5314928339254075,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
76,homoharringtonine,0.23389081622371927,0.4643790767418118,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
77,CD-437,0.08362997369756689,0.7414618320356648,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
78,SCH-79797,-0.053185529920041795,0.8339836902415712,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
79,LE-135,-0.14378496068207514,0.5692172929714842,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
80,SKI-II,-0.10692264272814446,0.6728195041516694,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
81,CI-976,0.27065045232945784,0.2773584699877818,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
82,cisplatin,-0.1310764827546642,0.6041564683969894,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
