gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation,total_TNBC_dist_in_cluster
FXYD3,0.1999999999999999,5,"{'0': 900, '-1': 537, '1': 185, '3': 30, '2': 21}","{'0': 13, '-1': 11, '1': 5, '3': 1}","(0, 1)","{0: 13, 1: 5}",8.27318011750499,4.357161844505127,18
FXYD3,0.2099999999999999,3,"{'0': 905, '-1': 491, '1': 277}","{'0': 13, '1': 9, '-1': 8}","(0, 1)","{0: 13, 1: 9}",8.007054025142173,3.18559551486889,22
FXYD3,0.2199999999999999,3,"{'1': 911, '-1': 452, '0': 310}","{'1': 13, '0': 9, '-1': 8}","(0, 1)","{0: 9, 1: 13}",7.947939848886276,2.9500517258811367,22
VIM,0.2099999999999999,3,"{'0': 825, '-1': 590, '1': 258}","{'-1': 15, '0': 10, '1': 5}","(0, 1)","{0: 10, 1: 5}",7.942913529787962,1.6434995771732783,15
GSTP1,0.5599999999999998,3,"{'0': 1513, '1': 96, '-1': 64}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.829524978099092,1.4970928883736143,29
FXYD3,0.2299999999999999,4,"{'1': 914, '-1': 375, '0': 355, '2': 29}","{'1': 13, '0': 11, '-1': 6}","(0, 1)","{0: 11, 1: 13}",7.825890151429707,2.9150714303330547,24
GSTP1,0.5699999999999997,3,"{'0': 1515, '1': 97, '-1': 61}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.816429406587448,1.4970928883736143,29
VIM,0.2199999999999999,3,"{'0': 877, '-1': 509, '1': 287}","{'0': 12, '-1': 12, '1': 6}","(0, 1)","{0: 12, 1: 6}",7.796479889876743,1.1382718001722203,18
GSTP1,0.5799999999999997,3,"{'0': 1516, '1': 105, '-1': 52}","{'0': 25, '1': 5}","(0, 1)","{0: 25, 1: 5}",7.791676296018954,1.4970928883736143,30
GSTP1,0.5899999999999997,3,"{'0': 1518, '1': 106, '-1': 49}","{'0': 25, '1': 5}","(0, 1)","{0: 25, 1: 5}",7.791386784481777,1.4970928883736143,30
GSTP1,0.6199999999999998,3,"{'0': 1521, '1': 106, '-1': 46}","{'0': 25, '1': 5}","(0, 1)","{0: 25, 1: 5}",7.7895773393453425,1.4970928883736143,30
GSTP1,0.5999999999999998,3,"{'0': 1520, '1': 106, '-1': 47}","{'0': 25, '1': 5}","(0, 1)","{0: 25, 1: 5}",7.789528380279531,1.4970928883736143,30
GSTP1,0.6099999999999998,3,"{'0': 1520, '1': 106, '-1': 47}","{'0': 25, '1': 5}","(0, 1)","{0: 25, 1: 5}",7.789528380279531,1.4970928883736143,30
GSTP1,0.5499999999999998,3,"{'0': 1512, '1': 89, '-1': 72}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.783094504226254,1.8441290891152369,29
GSTP1,0.4199999999999998,3,"{'0': 1421, '-1': 193, '1': 59}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.777155284669851,3.4942192150120106,29
GSTP1,0.5399999999999998,3,"{'0': 1511, '1': 85, '-1': 77}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.77478674833826,1.8441290891152369,29
GSTP1,0.4099999999999998,3,"{'0': 1417, '-1': 198, '1': 58}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.757965993196466,3.4942192150120106,29
GSTP1,0.5099999999999998,4,"{'0': 1469, '-1': 85, '1': 79, '2': 40}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.716471421840344,1.8441290891152369,29
GSTP1,0.5299999999999998,4,"{'0': 1476, '1': 82, '-1': 80, '2': 35}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.714862655153224,1.8441290891152369,29
GSTP1,0.4299999999999998,3,"{'0': 1429, '-1': 180, '1': 64}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.706398018844626,3.1772178012045753,29
GSTP1,0.4399999999999998,3,"{'0': 1436, '-1': 172, '1': 65}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.699438843249257,3.1772178012045753,29
GSTP1,0.4999999999999998,4,"{'0': 1467, '-1': 91, '1': 77, '2': 38}","{'0': 25, '1': 4, '-1': 1}","(0, 1)","{0: 25, 1: 4}",7.697683287404389,1.8441290891152369,29
GSTP1,0.3899999999999998,3,"{'0': 1412, '-1': 208, '1': 53}","{'0': 25, '1': 3, '-1': 2}","(0, 1)","{0: 25, 1: 3}",7.695317097235209,3.4942192150120106,28
GSTP1,0.3999999999999998,3,"{'0': 1414, '-1': 206, '1': 53}","{'0': 25, '1': 3, '-1': 2}","(0, 1)","{0: 25, 1: 3}",7.694882638297274,3.4942192150120106,28
